gene_id	gene_name	GM12878_REP1	GM12878_REP2	H1_REP1	H1_REP2	K562_REP1	K562_REP2	MCF7_REP1	MCF7_REP2
ENSG00000000003	TSPAN6	8	0	8591.779	4593.954	3	2	6736.202	4243.112
ENSG00000000005	TNMD	0	0	71	35	0	0	3	0
ENSG00000000419	DPM1	4301	3755	2015.892	867.518	6695	9275	11453.745	11043.871
ENSG00000000457	SCYL3	2083.842	1690.054	680.153	469.026	1040.562	1531.287	2280.989	2335.837
ENSG00000000460	C1orf112	2016.009	1746.026	3981.889	1951.693	3122.168	3223	4750.223	3933.307
ENSG00000000938	FGR	11030.999	12004.001	146	111	1	2	0	4
ENSG00000000971	CFH	2	0	0	1	7048	7931.991	13.395	13
ENSG00000001036	FUCA2	2190	2191	3563.086	1880.089	6956.001	8048	6207.611	7973.237
ENSG00000001084	GCLC	1780	1817.999	3186.462	1925.482	743.999	1488.13	6456.29	6182.17
ENSG00000001167	NFYA	3508	3908	2696.899	2188.765	3228	3555	3562.256	2813.348
ENSG00000001460	STPG1	36	28	1759.398	1391.293	570	609	551.84	452.733
ENSG00000001461	NIPAL3	455.999	562.001	1680.09	1293	2432	2880.004	2047.633	1894.001
ENSG00000001497	LAS1L	7302	6912	6625.229	7191.099	11163.001	15421	6193.408	8036.471
ENSG00000001561	ENPP4	890	647	621.848	307.03	0	0	1306	1397.055
ENSG00000001617	SEMA3F	0	2	4767.325	7046.65	144	164	3404.031	4635.194
ENSG00000001626	CFTR	7	4	296.033	68	0	0	2	2
ENSG00000001629	ANKIB1	4686.001	3971	5744.637	3267.697	2948	3155.083	18705.42	17909.099
ENSG00000001630	CYP51A1	7534	6198.999	2167.038	1957.484	8850.676	11129.201	5912.372	6100.168
ENSG00000001631	KRIT1	3321.116	2454.005	1678.34	918.165	4762.574	5919.614	5796.93	5508.754
ENSG00000002016	RAD52	687.502	728.23	1551.374	1057.702	846.07	840.453	967.606	995.545
ENSG00000002079	MYH16	9	1	0	0	14	8	35	40
ENSG00000002330	BAD	1997	2623	1844.277	1685.351	1289.001	1414	628.001	977.001
ENSG00000002549	LAP3	12379.001	10774.001	3322.318	1825.295	7101.999	8960.001	5801.31	6899.159
ENSG00000002586	CD99	11034.999	10720	2195.98	2801.737	1893	2092.999	1830.669	3606.143
ENSG00000002587	HS3ST1	47	28	185	170.042	4.001	5.001	24.033	17.001
ENSG00000002726	AOC1	0	0	27	28	0	0	0	2
ENSG00000002745	WNT16	3	0	14	37	0	0	71	45
ENSG00000002746	HECW1	15	1	558.99	662	6	0	18.078	29.001
ENSG00000002822	MAD1L1	2483.999	2905.999	2736.706	3020.154	2110.938	2841.072	1586.017	2677.149
ENSG00000002834	LASP1	15384.021	16579	19123.612	23737.068	12140	17405.343	8348.507	10326.3
ENSG00000002919	SNX11	5372	5259.999	3129.619	2128.034	1321.999	1581.045	2275.181	2402
ENSG00000002933	TMEM176A	0	0	96	55	0	0	0	0
ENSG00000003056	M6PR	10048.064	9066.999	8829.278	5332.649	8024.999	9027	12200.961	13334.403
ENSG00000003096	KLHL13	1892	1563.36	1371.951	719.343	399	365	2074.999	1696
ENSG00000003137	CYP26B1	0	0	20	46	0	0	292.999	493.001
ENSG00000003147	ICA1	144	124	2114.224	1199.153	1453.408	1754.195	4774.298	4654.138
ENSG00000003249	DBNDD1	96	142	11682.705	13763.518	937.999	965	2793.394	4525.555
ENSG00000003393	ALS2	1729.999	1580.999	4197.532	2954.424	2494.999	2494	4086.021	3778.093
ENSG00000003400	CASP10	1611.759	1611.001	666.433	503.996	1615.001	1853.999	99.644	107.871
ENSG00000003402	CFLAR	11842.005	10895	1007.107	714.428	6661.999	8539.999	4909.453	4393.464
ENSG00000003436	TFPI	34	6	427.819	155.098	5462.999	7146.999	186	263.999
ENSG00000003509	NDUFAF7	2696	1945	4688.44	2618.274	2442	2770.223	2033.129	2020.999
ENSG00000003756	RBM5	14227.998	12068.001	14653.607	9498.001	6968.001	9434.198	28554.392	28973.085
ENSG00000003987	MTMR7	2	1	596.001	344.998	0	9	345	527.033
ENSG00000003989	SLC7A2	0	0	3361.213	2755.648	0	0	16887.445	41512.732
ENSG00000004059	ARF5	7611	8300.801	34425.661	30722.97	8752.816	12484.018	8730.162	11778.935
ENSG00000004139	SARM1	3260.001	3409.322	1189.99	1154.612	16	9.109	772.781	851.219
ENSG00000004142	POLDIP2	13158	13592	10421.793	10791.625	9899	11776.538	5672.309	7543.333
ENSG00000004399	PLXND1	13	5	4237.055	5204.23	2974	3120.647	6679.598	10203.454
ENSG00000004455	AK2	21281.226	19951.999	7704.462	6095.546	42559.9	53759.53	12625.956	14474.458
ENSG00000004468	CD38	2246	2122	58.128	49.084	2	2	10.058	10.018
ENSG00000004478	FKBP4	6643	7061	17144.931	16640.336	13262	15872.999	30203.37	52147.835
ENSG00000004487	KDM1A	13629.999	12897	27907.158	19485.211	16899	23394	15607.938	14838.675
ENSG00000004534	RBM6	10361.972	8992.001	5261.698	2880.182	6933	9138.965	15035.724	16381.446
ENSG00000004660	CAMKK1	71	65	1703.025	2124.131	1134.001	1254.999	425	517.009
ENSG00000004700	RECQL	7063	5671	1584.644	711.492	2615	3719	4125	3809.999
ENSG00000004766	CCDC132	1482	1210	617.408	336.431	1490.001	1952.999	2884.189	2549.717
ENSG00000004776	HSPB6	7	25	87	133	0	0	4	10
ENSG00000004777	ARHGAP33	1814.001	2139	1017	1923.327	1100	1481	689.999	1108.1
ENSG00000004779	NDUFAB1	9314.001	8235.125	10296.003	7247.324	12583.999	13409.929	10294.999	10404.429
ENSG00000004799	PDK4	2	0	5	4	4	15	477	290
ENSG00000004809	SLC22A16	0	0	0	0	0	0	3	0
ENSG00000004838	ZMYND10	51	59	55.026	46.022	111	63.016	68.02	93.485
ENSG00000004846	ABCB5	0	0	1	1	0	0	2.004	0
ENSG00000004848	ARX	4.042	0	1	9	0	4	55	106
ENSG00000004864	SLC25A13	1897	1809.999	5918.256	3883.18	5933.999	7771	5451.274	6189.83
ENSG00000004866	ST7	4550.413	4277.955	2711.591	1508.503	3024	3074.589	1649.306	2095.998
ENSG00000004897	CDC27	8353.999	7115.999	3459.753	1870.384	7938.002	9912.999	8383.457	7480.582
ENSG00000004939	SLC4A1	7	7.103	25.703	23.007	129	74.323	3.056	9.013
ENSG00000004948	CALCR	0	0	170.112	133	6	4	7256.344	10537.883
ENSG00000004961	HCCS	2122	1814	1051.017	718.725	3792	5504	2902.407	2730.763
ENSG00000004975	DVL2	2565	2732	2545.04	3320.161	2694	2975	1107.039	1258
ENSG00000005001	PRSS22	0	0	282	350.001	0	14	1274.001	1102.001
ENSG00000005007	UPF1	7419.999	10381.003	8811.487	12804.03	7424	9411.304	9316.855	12885.913
ENSG00000005020	SKAP2	1963	1969.209	150	60	648	928	3394.615	2930.849
ENSG00000005022	SLC25A5	31296.182	31579.457	49663.597	49928.003	30056	35372.999	65243.813	75097.296
ENSG00000005059	CCDC109B	2809	2288	1187.001	676.999	596.001	849	1885.379	2233
ENSG00000005073	HOXA11	0	0	0	0	0	0	57	58
ENSG00000005075	POLR2J	3801.569	4120.505	5303.765	4392.142	6173.029	7705.9	3426.39	4809.902
ENSG00000005100	DHX33	5842	5976.713	10552.754	8647.065	3154	3453	6847.583	7323.464
ENSG00000005102	MEOX1	49	52	1	3	0	0	0	0
ENSG00000005108	THSD7A	0	0	278	202	0	0	4	18
ENSG00000005156	LIG3	4639.999	4564	9548.26	8342.163	5211	6350.999	3020.002	3895.803
ENSG00000005175	RPAP3	2327.999	1917	899.108	420.001	4495	6387.001	4173	4039.067
ENSG00000005187	ACSM3	215	278.001	494	349.059	8592	10827.952	151.324	94.999
ENSG00000005189	AC004381.6	1159	948	380.016	261.999	2421	3028.998	1436.023	1832.001
ENSG00000005194	CIAPIN1	4107	3525.999	9372.581	6670.537	6242.999	7382.001	3567.995	3938.331
ENSG00000005206	SPPL2B	5300.999	5738	5114.72	9841.589	5363.999	8138	1939.513	3345.581
ENSG00000005238	FAM214B	542.001	384	1837.283	1959.986	910	1092	779.289	702
ENSG00000005243	COPZ2	128	100	14.999	9	1	0	434.979	471.99
ENSG00000005249	PRKAR2B	0	2	2602.863	1404.025	13996	15581	1583.95	1646.933
ENSG00000005302	MSL3	5031.999	4421.001	1318.996	980.904	3108	4419.2	2742.349	2476.907
ENSG00000005339	CREBBP	4015.988	5180.998	5670.124	7797.953	2281	3231.091	14483.868	13316.897
ENSG00000005379	BZRAP1	1389	1668.999	1491.089	1841.66	389.001	734.001	1	3
ENSG00000005381	MPO	21	21	18	30	3	0	0	0
ENSG00000005421	PON1	15	0	2	1	0	0	0	0
ENSG00000005436	GCFC2	1786.002	1367	734.003	376.01	1716	2497.001	1352.002	1108.013
ENSG00000005448	WDR54	4006.001	3713.071	7294.845	6930.098	471.999	411.999	1644.042	2151.029
ENSG00000005469	CROT	1113	853	391.999	200.001	443	674	5598	4679.988
ENSG00000005471	ABCB4	817	725	102.001	56.999	8	53	51.999	40
