gene_id,Oxy_rep3,Control_rep1,Control_rep2,Control_rep3,CoCl2_rep1,CoCl2_rep2,CoCl2_rep3,Oxy_rep1,Oxy_rep2
A1BG,3.108,5.241,10.348,9.873,3.257,5,1,7.173,9.241
A1BG-AS1,13.55,9.467,11.598,7.754,5.298,0,0,19.629,17.023
A1CF,438.999,619,664,542,408.001,332,475,496,485
A2M,13,19,20.237,23,22,11,21,28,19.999
A2M-AS1,2,9,4.763,7,3,0,3,9,7
A2ML1,1,0,0,1,1,3,5,0,1
A2MP1,0,0,2,1,0,0,0,0,0
A3GALT2,0,0,0,0,1,0,0,0,0
A4GALT,619.001,339,401,387,134.001,110,178,775.999,794.001
A4GNT,1,1,0,0,0,0,0,0,1
AA06,0,0,0,0,0,0,0,0,0
AAAS,615,959,972,884,203,170,313,695,732
AACS,1351.001,843,896,803,543,398,681.001,1666,1683
AACSP1,7,2,1,4,33,15,35,4,3
AADAC,10,25,24,24,28,39,35,13,13
AADACL2,0,0,0,0,0,0,0,0,0
AADACL2_1,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0,0
AADACL3,2,3,0,2,1,1,2,5,1
AADACL4,0,0,0,1,0,0,0,0,0
AADACP1,0,1,3,1,3,2,1,1,3
AADAT,144,146,156,135,34,21,33,145,201.988
AAGAB,1754,1675,1834,1676,1527,1347,1948,2028.001,2033.001
AAK1,1208,756.994,936.277,819.001,1119,872,1381,1613,1682.998
AAMDC,981.414,1101.757,1239.789,1125.541,701.422,464.901,762.155,1088.217,1046.395
AAMP,3022,3313,3456,2987,7172,5391,8652,3431,3404
AANAT,2,5,1,2,0,0,0,5,5
AAR2,1706,1785,1952.999,1624.001,4508.999,3376.001,5328.999,1959.999,1999
AARD,0,0,0,0,0,0,1,0,0
AARS1,12363,8517,8823,7868,4588,3524,5879,14356,14255
AARS2,592.977,564.278,599,495,125,95,158,676.518,698.277
AARSD1,317.967,636.68,663.695,549.306,427.827,339.883,562.184,371.298,355.045
AASDH,157,183,239,186,134,131,171,177.999,176
AASDHPPT,906,1360,1657,1442,423,387,630,925,1013
AASS,520,527,678,557,231.999,167,299,645,656
AATBC,5,4,2,4,6,11,14,7,6
AATF,1527,2485,2543,2215,2278,1673,2608,1854,1709
AATK,760,736,741,659,419,379,605,971.809,956
ABALON,633.008,857.509,866.419,748.313,537.204,483.186,713.913,790.259,787.966
ABAT,884,1298,1545,1269.999,817.999,585,945,943.999,1011
ABCA1,107,221.958,203,134,146.974,132,171.927,132.788,111
ABCA10,0,0,0,0,3,0,0,1,1
ABCA11P,80.867,111.337,116.165,94.053,71.895,56.019,94.309,110.856,109.023
ABCA12,0,0,0,0,1,0,0,1,1
ABCA13,3,1,1,0,7,7,14,2,1
ABCA17P,64,89,103,84,117,90,150,67,86
ABCA2,908,474,500,447,228,183,271,1125,1168
ABCA3,512,692,772,684,74,58,90,673,623
ABCA4,3,8,4,11,1,3,4,5,5
ABCA5,145,49,73,55,39,44,39,166,181
ABCA6,3,2,4,2,0,0,0,3,5
ABCA7,565.999,325,381.999,339,109,104,145.999,714,760
ABCA8,0,2,2,1,0,0,0,0,0
ABCA9,2,5,2,8,6,4,1,0,7
ABCA9-AS1,0,4,0,2,0,0,0,0,2
ABCB1,212.91,319.963,309.991,277.977,284.974,207.987,331.914,217.659,191.918
ABCB10,848.001,716,846,730.999,102,93,139.999,956,943.001
ABCB11,0,2.36,0,0,1,0,6,0,1
ABCB11_1,0,2.64,1,1,0,2,0,4,1
ABCB4,8.239,3.079,1.018,4.052,6.072,4.052,7.138,19.499,25.252
ABCB5,0,1,0,1,1,0,1,0,2
ABCB6,1768,1303,1265,1160,2152,1684,2548,2125,2107
ABCB7,505.577,623,715.761,630,553,469,681,655.478,630
ABCB8,451,397,407,384,331,268,451,614,569
ABCB9,136.214,58.757,56.776,50,37.873,45.029,37,156,149.569
ABCC1,313.159,205.177,206.409,207.494,214.639,113.394,245.693,467.883,498.64
ABCC1_1,1009.841,533.823,612.59,499.505,600.36,491.606,697.307,1107.117,1139.361
ABCC10,488,570.001,608,510.816,158.999,106.001,196.999,627,625.999
ABCC11,7.186,11.153,10.755,3.987,2.083,2.011,15.106,3.435,10.331
ABCC12,0,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,1,0,0,0,0
ABCC2,5962.001,4595,5003.001,4306.001,11657.001,8856.965,14000,6943.999,6844
ABCC3,379,363,417,351,129,114,139,459,451
ABCC4,1479,2347,2720,2233,1138,944.001,1455,1823.001,1876
ABCC5,1825,737.001,805.999,716,2791.001,2142,3334,2163,2155
ABCC5-AS1,1,0,2,0,0,0,0,0,0
ABCC6,102.833,184.072,162.65,106.506,39.661,11.851,36.475,157.395,170.111
ABCC6_1,163.048,129.904,152.341,154.145,0,10.339,14.303,189.608,134.673
ABCC6P1,60.204,89.786,105.208,72.562,12.299,11.023,15.276,59.839,67.762
ABCC6P1_1,1.404,0,2.157,3.52,0,0,0,0,2.815
ABCC6P2,24.511,67.237,67.643,40.266,15.04,3.788,5.948,34.158,41.638
ABCC8,0,0,0,0,0,0,0,0,1
ABCC9,927.091,1505.157,1714.438,1406.405,253.808,225.85,355.208,996.779,1076.077
ABCD1,116.91,62.714,63.937,58.964,38.892,34.466,48.809,125.345,164.456
ABCD2,0,1,0,0,0,0,1,0,0
ABCD3,1579.004,2326.001,2932.019,2297.999,1326.999,1193.02,1520.008,1724.017,1852.01
ABCD4,494,449.999,499.001,461.999,425,364,576,625,625
ABCE1,1624.362,3185.916,3982.371,3446.113,1879.336,1584.009,2196.837,1783.476,2018.383
ABCF1,2773,3599,3709,3350,4339,3278,4994,3190,3260
ABCF1-DT,1,1,0,1,3,2,3,1,0
ABCF2,605.327,909.834,861.075,941.421,568.184,454.895,714.266,724.173,703.748
ABCF2-H2BK1,798.673,1505.166,1716.925,1467.579,750.816,606.105,940.724,1002.827,952.252
ABCF3,802,973,1052,949,2394.999,1801,2705,1086,1050
ABCG1,3,1,1,0,2,3,3,9,6
ABCG2,1158.34,609.088,694.867,626.721,867.428,745.91,1089.814,1296.629,1231.848
ABCG4,3,1,1,0,0,4,2,3,6
ABCG5,0,0,0,0,0,1,1,1,1
ABCG8,3,2,7,0,1,0,3,0,4
ABHD1,5,4,5,1,2,2,1,3,2
ABHD10,563.999,588,685,617.001,314,255.999,425,667,660
ABHD11,383,502.999,461,437,198.999,181,247.001,517,505
ABHD11-AS1,4,1,2,1,5,1,4,5,7
ABHD12,1923.001,1572.999,1673,1441,765.001,642,926,2246,2425
ABHD12B,33.381,41.312,25.326,34.048,133.68,83.578,150.529,48.147,39.761
ABHD13,228,301,337,267,156,135,175,249,220
ABHD14A,138.921,114.479,117.103,98.22,67.094,64.712,105.498,180.774,172.873
